Disease ,Gender,Age,Sym1,Sym2,Sym3,Sym4,Sym5,Sym6,Sym7,Sym8,Sym9,Sym10,Sym11,Sym12,Sym13,Sym14,Sym15
Salivary Mucocele,both,common,Swelling of the neck,Swelling under the tongue,Difficult swallowing,Breathing difficulties,Secondary bacterial infections,Fever,Blood in saliva,,,,,,,,
Hypertrophic Osteodystrophy,male,five,Lameness,Depression,Warm,Swollen metaphyses,Fever-as high as 106� F,Lack of appetite,Weight loss,Dehydration,Diarrhea,Possible pneumonia,,,,,
Pyelonephritis,both,common,Maybe Asymptomatic,Polyuria or Polydipsia,Abdominal or lumbar pain,Signs associated with lower urinary tract,infection,Dysuria,Pollakiuria,periuria Stranguria,MalOdorous,Pain upon palpation of kidneys,Fever,,,,
Chorioretinitis ,male,common,Not usually painful,Vitreous abnormalities,Hemorrhage,blood vessels,Lesions,Inactive (scars) discrete margin,shyperreflective in the tapetum,sometimes with hyperpigmented central areas,,,,,,,
Idioventricular Rhythm,both,common,Some animals Asymptomatic,Weakness,Lethargy,Exercise intolerance,Syncope,Heart failure,,,,,,,,,
Lameness ,both,common,Unilateral,head and neck moves upward,Unilateral,pelvis drops,Bilateral hindlimb,forequarters carried lower to shift weight forward,proximal lesion,,,,,,,,
Panting and Tachypnea,both,common,Coughing,hyperadrenocorticism,intermittent,Brachycephalic syndrome may be observed,Stridor,Lower airway disease,Coughing,expiratory wheezes on auscultation,abdominal effort,crackles on auscultation,harsh or moist lung sounds,Cardiogenic pulmonary edema,heart murmur or arrhythmia,Tachycardia,gallop sound
Lymphoma ,both,ten,Multicentric,Anorexia,Lethargy,Vomiting,Diarrhea,Weight loss,fever,Polydipsia,Gastrointestinal,malabsorption,Mediastinal,Respiratory distress,,,
Thrombocytopenia,both,common,Excessive bruising,Severe or prolonged blood loss,Fever,Lethargy,Heart murmur,Urinary Bleeding,Coughing,Excessive nasal mucus,Sudden collapse,,,,,,
Deafness,both,common,Difficulty localizing sound,change in attentiveness,Appear unresponsive to everyday sounds,Appear unresponsive to his or her name,Be difficult to rouse from sleep,Often they are easily startled,Bark excessively,Fail to respond to familiar verbal commands,Be difficult to rouse from sleep,Be less active,,,,,
Urolithiasis - Calcium Oxalate ,male,ten,Asymptomatic in some animals,number of uroliths,persistent Hematuria,contralateral microrenale,urocystoliths,Dysuria and Hematuria,Some may present for urethral obstruction,Nephroureteroliths,abdominal or urethral palpation,failure to palpate uroliths,Urocystoliths with irregular,,,,
Osteochondrosis,male,five,Lameness,joint effusion,reduced range of motion in affected joints,include the head of the humerus,the medial aspect of the humeral condyle,the femoral condyles,the trochlear ridges of the talus,,,,,,,,
Polyarthritis- Immune-Mediated,both,five,Lameness,Trauma,Vomiting,Diarrhea,Anorexia,Pyrexia,polyuria,polydypsia,Pacing,neoplastic disease,Stiffness,Decreased range of motion,Joint swelling,Joint instability,subluxation
 Atopic Dermatitis,both,five,Lesions,Erythema,Papules,Alopecia,hyperpigmentation,Lichenification,dry seborrhea and hyperhidrotic,apocrine sweating,Secondary bacterial and yeast skin infections,Chronic,Conjunctivitis,Blepharitis,Rhinitis,,
Deciduous Teeth-Persistent,both,five,Bad breath,Abnormally-positioned permanent teeth,Swollen,Bleeding gums around baby teeth,teeth overcrowding,passageway mouth and nasal cavity,,,,,,,,,
Hypernatremia,both,common,Extreme thirst,Excessive urination,Weakness,Sleepiness,Confused and disoriented,Depression,Walking in circles,Head pressing,Twitching or trembling muscles,Vomiting,Diarrhea,Swollen belly,Seizures,Coma,
Epulis,both,common,Bleeding from mass,Difficulty chewing,Displaced teeth,Drooling,Loss of Appetite,Pink and raised growth,Reduced activity level,Swelling of jaw bones,Tooth loss,Unusually Bad breath,Weight loss,,,,
Breeding - Timing,male,common,color during estrus,vulvar edema of proestrus decreases,receptive to male during estrus,ulva less turgid,Vaginal discharge-less color and amount,Flagging,Fully cornified and crenulated,pale vaginal epithelium,,,,,,,
Leukoencephalomyelopathy ,both,five,Insidious,non-painful,progressive onset,Cervical spinal cord,Weakness,Front limbs are more severely affected than hind limbs,Mild asymmetry,Nail scuffing in all limbs,Proprioceptive positioning,Spinal reflexes normal to exaggerated,,,,,
Tyzzer Disease,both,common,Abdominal pain,Anal Bleeding,Coma,Convulsions,Excessive urination or thirst,Fever,Jaundice,Lethargy,Loss of Appetite,Ruffled or coarse fur,Sudden death,Watery diarrhea,,,
Incontinence-Fecal,both,common,Diarrhea,Defecating while walking or sleeping,Dragging hind end on the rug or floor,Bloating,Gas,Loss of muscle tone in the anal area,Aggravation,Inability to wag tail,,,,,,,
Blue-Green Algae Toxicosis ,both,common,Diarrhea,Weakness,shock,Depression,Coma,Drooling,Neurologic signs,Disorientation/Confusion,Seizures,Breathing difficulties,,,,,
Alkalosis - Metabolic disease,both,common,Administration of loop diuretics,accompanying potassium depletion,Muscle twitching,Dehydration in volume-depleted patients,Muscle twitching,,,,,,,,,,
Myelodysplastic Syndromes ,both,fifteen,Lethargy,Exercise intolerance,Depression,Anorexia,Fever,Pale mucous membranes,Heart murmur due to anemia,,,,,,,,
Otitis Media and Interna ,both,common,headshaking,Odor,redness of the skin,swelling,scratching,increased discharge,Scaly skin,ear canal painful,itchy,,,,,,
Retinal Hemorrhage,both,common,Acute or progressive Vision loss,Symmetrical,Bleeding inside the eyes,Bleeding from the eyes,Dilated pupils,Enlarged eyes,Greenish,shiny reflection of the eyes,Red eyes,,,,,,
Ethanol Toxicosis,both,common,Lethargy,Sedation,Depression,Ataxia,Vomiting,Diarrhea,Disorientation,Depression,Vocalization,Coma,Seizures,,,,
Apudoma,both,ten,Weight loss,Vomiting,Vomiting,Diarrhea,Depression,Lethargy,Pain in the abdomen,Dried blood in the stool (Melena),Fresh blood in the stool,Acid reflux,Ulcers,Gastritis,,,
Papillomatosis,both,common,Cutaneous papillomas,pedunculated fronds of epithelium,Canine papillomavirus most often oral mucosa,hard palate,epiglottis,may interfere with prehension,swallowing,Trauma results in Halitosis and Ptyalism,may be confined to genital or eyelid regions,Cutaneous inverted papillomas less,Multiple lesions,different papilloma,Multiple papillomas,Firm,lose pigmentation
Baylisascariasis ,both,common,Intestinal form-none,Weakness,ataxia,dysphagia,circling,recumbency,,,,,,,,,
Congestive Heart Failure Left-Sided ,both,common,Weakness,Lethargy,Exercise intolerance,Coughing,relieved by assuming a standing,sternal,,,,,,,,,
Atrioventricular Block - Complete ,female,common,Coughing,Loss of Appetite,Weight loss,Acting weak or sleepy,Dizziness,Pale or blue tint to gums and tongue from low oxygen levels,Breathing troubles (too fast or too slow),Inability to exercise,Very slow heart rate,Fainting,Swelling,,,,
Anaerobic Infections,both,common,A foul Odor,associated exudates,Discolored tissue especially when black,Peritonitis,pyothorax,pyometra,Severe dental disease,Wounds or deep abscesses,,,,,,,
Shock-Septic,both,common,Shaking,Fever,Weakness,Confusion,Rapid heart rate,Bounding pulses,Rapid rise in temperature,Panting,Decrease in urinary output,Glucose deficiency in bloodstream,Red mucous membranes,Pale mucous membranes,Inconsistencies in pulse,Cool extremities,A daze-like condition
Meningioma ,female,common,Vary with tumor location,Typically chronic,focal ischemia,Lateralizing deficits predominate,Elevated ICP,cerebral edema or brain herniation,,,,,,,,,
Coccidioidomycosis ,both,common,Coughing,Fever,Anorexia,Weight loss,Lameness,Seizures,paraparesis,back and Neck Pain,Visual changes,,,,,,
Atrioventricular Valvular Stenosis,both,ten,Exercise intolerance,Syncope,Tachypnea,Coughing,Cyanosis,Abdominal distention,arterial thromboembolism,Stunted growth,Hemoptysis from rupture,,,,,,
Pheochromocytoma,both,common,Weakness,Anorexia,Vomiting,Weight loss,Panting,dyspnea,Diarrhea,Whining,Pacing,Ascites,edema,Shakes or shivers,Epistaxis,Adypsia,Lethargy
Episcleritis,both,common,Red eye,Irritated eye,Inflammation in eye,Alteration in clarity of eye,Lesions,translucent inner eyelid,Pink eye,,,,,,,,
Pneumonia-Fungal,both,five,Weight loss,OculoNasal discharge,Coughing,Tachypnea,Blepharospasm,Papules and cutaneous nodules,Lameness,Seizures,ataxia,behavior change if CNS affected,Emaciation,Harsh,loud breath sounds,Coughing on tracheal palpation,Dyspnea
Proptosis,both,common,Subconjunctival or intraocular Hemorrhage,dilated pupil,Intraocular inflammation,Globe deviation or strabismus or rupture,Corneal Ulceration or desiccatio,Periocular bite wounds,Fractures of the bony orbit or skull,Systemic injuries,Trauma to the contralateral eye,,,,,,
Lymphadenitis ,both,common,Lymph node,organ dysfunction,Lymph node,Bacterial,Fever,,,,,,,,,,
Canine Schistosomiasis,both,common,Lethargy,weight loss,Vomiting,Diarrhea,Anorexia,Polyuria or Polydipsia,more rarely Melena and borborygmus,,,,,,,,
Hypopituitarism,both,five,Hair loss on sides,No permanent teeth,Small penis and testicles,Irregular or no heat cycles,Lethargy,Mental deterioration,Weight loss,Death,Thin and hypotonic skin,,,,,,
Renal Failure-Chronic ,both,ten,Anorexia,Lethargy,Vomiting,Weight loss,Nocturia,Constipation,Diarrhea,Acute Blindness,Seizures,,,,,,
Electric Cord Injury,both,five,Oral Ulcerations on the tongue,Singeing of the fur,Coughing,Abnormal rapid breathing,Open mouthed breathing,Blue tinged mucus membranes,Crackling sound when breathing,Excess salivation,Difficulty swallowing,Not wanting to lie down,,,,,
Mycotoxicosis?Tremorgenic Toxins ,both,common,Vomiting,hyperresponsive to external stimuli,Panting,Hyperactivity,Vomiting,ataxia,Incoordination,Weakness,Tachycardia,rigidity,Seizures,may lead to hyperthermia,Hypoglycemia,Dehydration,depression
Myopathy - Generalized Inflammatory ,both,common,Weakness,regurgitation,Elevated serum creatine kinase activity,creatine kinase activity normal,Firm,Chronic,Muscle swelling or atrophy,Variable muscle pain,muscle Weakness,Regurgitation,swallowing,Variable pain,muscles of mastication,Weakness,Muscle pain
Aspirin Toxicosis,both,common,Depression,Anorexia,Vomiting,vomitus may be blood tinged,Tachypnea,Hyperthermia,Weakness,Ataxia,Coma,Seizures,,,,,
Hiatal Hernia,male,five,Regurgitation,Coughing,Nasal discharge,Hypersalivation,Weight loss,Shortness of breath,Lack of appetite,,,,,,,,
Myopathy - Generalized Inflammatory ,both,common,Weakness,regurgitation,Elevated serum creatine kinase activity,creatine kinase activity normal,Firm,Chronic,Muscle swelling or atrophy,Variable muscle pain,muscle Weakness,Regurgitation,swallowing,Variable pain,muscles of mastication,Weakness,Muscle pain
Pneumonia-Fungal,both,five,Weight loss,OculoNasal discharge,Coughing,Tachypnea,Blepharospasm,Papules and cutaneous nodules,Lameness,Seizures,ataxia,behavior change if CNS affected,Emaciation,Harsh,loud breath sounds,Coughing on tracheal palpation,Dyspnea
Polypoid Cystitis,both,common,Hematuria is the most common sign,Gross Hematuria,Dysuria,Urethral obstruction,Polyps originating,surround the ureteral orifice,Urinary tract infection,,,,,,,,
Pulmonary Edema- Noncardiogenic,both,common,Predisposing causes airway obstruction,electric cord bite,Seizures,head Trauma,near drowning,smoke exposure,adverse drug effects,Acute onset of dyspnea,Mild to severe dyspnea,Increased respiratory rate and effort,open-mouthed breathing,Postural adaptations to Respiratory distress,Unwillingness to lie down,cyanotic mucous membranes,noise breathing
Sinus Arrhythmia,both,common,Fast heartbeat,Slow heartbeat,Fainting,Breathing trouble,Coughing,Fatigue,Dizziness,Weakness,,,,,,,
Carcinoid and Carcinoid Syndrome ,both,common,Anorexia,Vomiting,Dyschezia,Melena,Collapse,Ascites,Weight loss,Signs of hepatic failure,carcinoid syndrome that occurs,,,,,,
Vesicourachal Diverticula ,both,common,macroscopic vesicourachal diverticula,Hematuria,Dysuria,lower urinary,,,,,,,,,,,
Hepatitis-Chronic,both,ten,Lethargy,Weight loss,Vomiting,Lack of appetite,Jaundice,,,,,,,,,,
Hypophosphatemia,both,common,Difficulty breathing,Uneven heart rate,Lethargy,Weakness,Muscle pain,Seizures,Weak bones,Lameness,,,,,,,
Myelodysplastic Syndromes ,both,fifteen,Lethargy,Exercise intolerance,Depression,Anorexia,Fever,Pale mucous membranes,Heart murmur due to anemia,,,,,,,,
Maternal Behavior Problems ,female,common,Deficient Maternal Behavior,Absent maternal behavior,Abnormal Maternal Behavior,Maternal Aggression,Excessive Maternal Behavior,,,,,,,,,,
Spinal Dysraphism,both,common,Abnormal spinal reflexes,Symmetrical,Wide legged stance,Overextended pelvic limbs,Depressed proprioception,Scoliosis,Abnormal hair streams,Depression,,,,,,,
Apudoma,both,ten,Weight loss,Vomiting,Vomiting,Diarrhea,Depression,Lethargy,Pain in the abdomen,Dried blood in the stool (Melena),Fresh blood in the stool,Acid reflux,Ulcers,Gastritis,,,
Small Intestinal Dysbiosis,both,five,Gas,Bloating,Diarrhea,Abdominal pain,Bad breath,Hyperactivity,Bladder infections,Weight loss,Gum disease,Immune system disorders,Respiratory illnesses such as asthma,Allergies,Joint pain,Gastrointestinal cancer,
Chylothorax ,both,common,Tachypnea,Coughing,Lethargy,Anorexia,Weight loss,Exercise intolerance,Vary with cause of effusion,Muffled heart and lung sounds ventrally,Increased bronchovesicular sounds,Pale mucous membranes,Arrhythmia,Heart murmur,,,
Hypophosphatemia,both,common,Difficulty breathing,Uneven heart rate,Lethargy,Weakness,Muscle pain,Seizures,Weak bones,Lameness,,,,,,,
Urolithiasis - Xanthine ,both,common,number of uroliths,Pollakiuria,Dysuria,voiding of small,Complete outflow obstruction may result in azotemia,May be Asymptomatic,hydronephrosis and renal insufficiency,,,,,,,,
Pancytopenia,both,common,History reflects the underlying cause,Pallor,mucosal Bleeding,Repeated febrile,Weakness,Pale mucous membranes,Petechial Hemorrhages,Mucosal Hemorrhage,Fever,,,,,,
ChondrosarComa - Oral ,both,common,Visible mass involving the mandible,Halitosis,dysphagia,Hypersalivation,Bloody,Weight loss,,,,,,,,,
Ductal Plate Malformation,both,five,Gastrointestinal signs,Poor body condition,Abdominal effusion,Diarrhea,Fever,Choledochal cyst,,,,,,,,,
Flea Bite Hypersensitivity and Flea Control,both,five,Itching,Scratching,Hair loss,Scabs on the dog skin,Lesions,Chewing,Licking,,,,,,,,
Polyarthritis- Immune-Mediated,both,five,Lameness,Trauma,Vomiting,Diarrhea,Anorexia,Pyrexia,polyuria,polydypsia,Pacing,neoplastic disease,Stiffness,Decreased range of motion,Joint swelling,Joint instability,subluxation
Optic Neuritis and Papilledema,both,common,Acute Blindness,behavior changes,absent menace,absent dazzle,mydriatic and nonresponsive pupil,anisocoria if Unilaterally affected,usuallynormal anterior segment,hyperemia,congestion,dazzle present,normal pupillary light reflexes,normal anterior segment,swelling of optic nerve head,elevation of optic nerve head,
Urethral Prolapse ,both,five,Bleeding of urination,persistent licking of the penis,Dysuria,doughnut-shaped mass protruding,Pale mucous membranes,self-induced Trauma from licking,Uroliths may be palpable,,,,,,,,
Neonatal Mortality,both,common,Low birth weight,loss of weight and appetite,Weakness,Poor suckling,failure to receive response,Constantly vocal or restless or quiet and inactive later,Tendency to remain,separate from the dam and the rest of the litter,Low Agpar scores at birth,bluish ventral abdominal skin,Swollen red or purulentrumbilical,Gross anatomic defects,Hair coat,Dilated pupils,Respiratory distress
Sepsis and Bacteremia,both,common,Vomiting,Diarrhea,Lack of appetite,Lethargy,Fever,Shaking,Chills,Pale gums,Rapid pulse,Panting,Low blood glucose,Disorientation,,,
Hypertrophic Osteodystrophy,male,five,Lameness,Depression,Warm,Swollen metaphyses,Fever-as high as 106� F,Lack of appetite,Weight loss,Dehydration,Diarrhea,Possible pneumonia,,,,,
Canine Parvovirus Infection ,both,common,Diarrhea,Anorexia,Vomiting,Weight loss,shock-like state,In breeding kennels,several littermate pups,minimal,Dehydration,abdominal discomfort,Often there is severe hemorrhagic diarrhean,Fluid-filled intestinal,Vomiting,fever,
Hyperchloremia,both,common,Gastrointestinal irritation,Lack of appetite,Weight loss,Lethargy,Persistent Hyperventilation,Excessive thirst,Coma,Seizures,,,,,,,
Sarcoptic Mange,both,common,Biting at the skin,Red and inflamed skin,scabs and crusty skin,open sores,hair loss,,,,,,,,,,
Premature Labor,female,common,Early no signs,fetal resorption evident,Later Vulvar discharge,hemorrhagic or lochial,History of unexplained loss of pregnancy,,,,,,,,,,
